,names,years,locs,countries
1,Edgehill,1642,Edgehill,England
2,Turnham Green,1642,London,England
3,Second Breitenfeld,1642,Leipzig,Germany
4,Lerida,1642,Lerida,Spain
5,Bristol,1643,Bristol,England
6,First Newbury,1643,Newbury,England
7,Lansdown,1643,Bath,England
8,RoundwayDown,1643,Devizes,England
9,Stratton,1643,Bude,England
10,Rocroi,1643,Rocroi,France
11,Bolton,1644,Bolton,England
12,Cheriton,1644,Cheriton,England
14,Cropready Bridge,1644,Cropready,England
15,Lostwithiel,1644,Lostwithiel,England
16,Marston Moore,1644,Long Marston,England
17,Second Newbury,1644,Newbury,England
18,York,1644,York,England
19,Freiburg,1644,Freiburg im Breisgau,Germany
20,Tippermuir,1644,Perth,Scotland
21,Montijo,1644,Montijo,Spain
22,Jankau,1645,Jankov ,Czechia
23,Langport,1645,Langport,England
24,Naseby,1645,Naseby,England
25,Allerheim,1645,Allerheim,Germany
26,Mergentheim,1645,Bad Mergentheim,Germany
27,Alford,1645,Alford,Scotland
28,Auldearn,1645,Auldearn,Scotland
29,Inverlochy,1645,Fort William,Scotland
30,Kilsyth,1645,Kilsyth,Scotland
31,Philiphaugh,1645,Selkirk,Scotland
32,London,1010,London ,England
33,London,1013,London ,England
34,Struma,1014,Klyuch ,Bulgaria
35,Clontarf,1014,Dublin ,Ireland
36,London,1016,London ,England
37,Otford,1016,Otford ,England
38,Pontlevoy,1016,Pontlevoy ,France
39,Cannae,1018,Canne Della Battaglia ,Italy
40,Montboyau,1026,Saint-Cyr-sur-Loire ,France
41,Stiklestad,1030,Stiklestad ,Norway
42,Monte Maggio,1041,Canne della Battaglia ,Italy
43,Venosa,1041,Venosa ,Italy
44,Brionne,1047-50,Brionne ,France
45,Val-es-Dunes,1047,Caen ,France
46,Domfront,1051-2,Domfront ,France
47,Arques-la-Bataille,1052-3,Arques-la-Bataille ,France
48,Saint-Aubin-sur-Scie,1053,Saint-Aubin-sur-Scie ,France
50,Civitate,1053,San Paolo di Civitate ,Italy
51,Mortemer,1054,Mortemer ,France
52,Cleobury,1056,Cleobury ,England
53,Lumphanan,1057,Lumphanan ,England
54,Varaville,1057,Varaville ,France
55,Reggio,1060,Reggio di Calabria ,Italy
56,Second Milan,1512,Milan,Italy
57,Flodden Edge,1513,Branxton,England
58,Battle of the Spurs,1513,Enguinegatte,France
59,Therouanne,1513,Therouanne,France
60,First Novara,1513,Novara,Italy
61,Marignano,1515,Melegnano,Italy
63,Bath of Blood,1520,Stockholm ,Sweden
64,"Bogesand,",1520,Ulricehamm,Sweden
65,Siege of Stockholm,1520,Stockholm,Sweden
66,Rhodes,1521,Rhodes Island,Greece
67,Third Milan,1521,Milan,Italy
68,Belgrade,1521,Belgrade,Serbia
69,Villalar Communeros,1521,Villalar de Los Comuneros,Spain
71,Bicocea,1522,Bicocea,Italy
72,Landstuhl,1523,Landstuhl,Germany
73,Second Novara,1523,Novara,Italy
74,Palma,1523,Palma de Mallorca,Spain
75,Danish Surrender,1523,Stockholm,Sweden
76,Marseille,1524,Marseille,France
77,Sesia,1524,Novara,Italy
78,Frankenhousen,1525,Bad Frankenhausen,Germany
79,Weinsberg,1525,Weinsberg,Germany
80,Pavia,1525,Pavia ,Italy
81,Pavia,1525,Pavia ,Italy
82,Buda,1526,Budapest,Hungary
83,Mohacs,1526,Mohacs,Hungary
84,Peterwardein,1526,Peterwardein,Serbia
85,Rome,1527,Rome,Italy
86,Genoa,1528,Genoa,Italy
87,Landriano,1528,Landriano,Italy
88,Second Naples,1528,Naples,Italy
89,Vienna,1529,Vienna,Austria
90,Buda,1529-31,Budapest,Hungary
91,Florence,1530,Florence,Italy
92,Gavinana,1530,San Marcello Pistoiese,Italy
93,Guns,1531,Készeg,Hungary
94,Coron,"1532-3,",Koroni,Greece
95,Essek,1537,Osijek,Croatia
96,Valpo,1837,Valpovo,Croatia
97,Corfu,1537,Corfu Island,Greece
98,Taranto,1537,Taranto,Italy
99,Castel Nuovo,1539,Naples,Italy
100,Solway Moss,1542,Solway Moss (Gretna),England
101,Boulogne,1544,Boulogne-sur-Mer,France
102,Ceresole,1544,Ceresole Alba,Italy
103,Ancrum Moor,1544,Jedburgh,Scotland
104,Kinlochlochy,1544,Laggan,Scotland
105,Muhlberg,1547,Muhlberg,Germany
106,Pinkie Cleugh,1547,Musselborough,Scotland
107,Metz,1552,Metz,France
108,Bastia,1553,Bastia,France
109,Sievershausen,1553,Lehrte,Germany
110,Marciano,1553,Marciano della Chiana,Italy
111,Siena,1553-4,Siena,Italy
112,St.Quentin,1887,St.Quentin,France
113,Calais,1558,Calais,France
114,Dunkirk,1558,Dunkirk,France
115,Gravelines,1558,Gravelines,France
116,Dreux,1562,Dreux,France
117,Le Havre,1562,Le Havre,France
118,Rouen,1562,Rouen,France
119,Vassy,1562,Wassy,France
120,Orleans,1563,Orleans,France
121,Malta,1565,Valletta,Malta
122,Szigeth,1566,Szigetvar,Hungary
123,Meaux,1567,Meaux,France
124,Paris,1567,Paris,France
125,Jodoigne,1568,Jodoigne,Belgium
126,Jemmingen,1568,Jemmingen,Germany
127,Heiligerlee,1568,Heiligerlee,Netherlands
128,Granada,1568,Granada,Spain
129,Jarnac,1569,Jamac,France
130,Moncontour,1569,Moncontour,France
131,Poitiers,1569,Poitiers,France
132,Roche L'Abeille,1569, La Roche-L'Abeille,France
133,Ohanez,1569,Ohanes,Spain
134,Galera,1570,Galera,Spain
135,Seron,1570,Serén,Spain
136,Mons,1572,Mons,Belgium
137,Paris,1572,Paris,France
138,Brill,1572,Brielle,Netherlands
139,Haarlem,1572-3,Haarlem,Netherlands
140,Alkmaar,1573,Alkmaar,Netherlands
141,Leyden,1574,Leiden,Netherlands
142,Mookerhyde,1874,Mook en Middelaar,Netherlands
143,Antwerp,1576,Antwerp,Belgium
144,Zierikzee,1576,Zierikzee,Netherlands
145,Gemblours,1578,Bembloux,Netherlands
146,Maastricht,1879,Maastricht,Netherlands
147,Alcantara,1580,Alcantara,Portugal
148,Antwerp,1584-5,Antwerp,Belgium
149,Zutphen,1585,Zutphen,Netherlands
150,Coutras,1587,Coutras,France
151,Sluys,1587,Sluis,Netherlands
152,Paris,1588,Paris,France
153,Arques,1589,Arques-la-Bataille,France
154,Paris,1589,Paris,France
155,Dreux,1590,Dreux,France
156,Ivry,1590,Ivry-la-Bataille,France
157,Paris,1590,Paris,France
158,Caudebec,1592,Caudebec-en-Caux,France
159,Paris,1594,Paris,France
160,Biscuits,1594,Enniskillen,Ireland
161,Fontaine-Francaise,1595,Fontaine-Francaise,France
162,Guirgevo,1595,Guirgiu,Romania
163,Kerestes,1596,Mezékeresztes,Hungary
164,Tournhour,1597,Turnhout,Belgium
165,Yellow Ford,1598,Armagh,Ireland
166,Nieuport,1600,Nieuwpoort,Belgium
167,Ostend,1601-4,Ostend,Belgium
168,Kinsale,1601,Kinsale,Ireland
169,Sablat,1619,Budweis ,Czechia
170,White Hill,1620,Prague,Czechia
171,Cecora,1620,Tutora,Romania
172,Jassy,1620,Iasi,Romania
173,Fleurus,1622,Fleurus,Belgium
174,Hochst,1622,Frankfurt am Main,Germany
175,Wimpfen,1622,Bad Wimpfen,Germany
176,Stadtlohn,1623,Stadtlohn,Germany
177,Breda,1624,Breda,Netherlands
178,Bridge of Dessau,1625,Dessau,Germany
179,Lutter,1626,Lutter am Barenberge,Germany
180,Stralsund,1626,Stralsund,Germany
181,La Rochelle,1627-1628,La Rochelle,France
182,‘Tezew,1627,Tezew,Poland
183,‘Wolgast,1628,Wolgast,Germany
184,Madgeburg,1630-1,Magdeburg,Germany
185,Breitenfeld,1631,Leipzig,Germany
186,Frankfurt-on-the-Oder,1631,Frankfurt an der Oder,Germany
188,Werben,1631,Werben (Elbe),Germany
189,Lutzen,1632,Lutzen,Germany
190,Nuremburg,1632,Nuremburg,Germany
191,River Lech,1632,Rain,Germany
192,Nordlingen,1634,Nordlingen,Germany
193,Wittstock,1636,Wittstock,Germany
194,‘Tornavento,1636,Oleggio,Italy
195,Croquant,1637,La Sauvetat,France
196,Leucate,1637,Leucate,France
197,Breda,1637,Breda,Netherlands
198,Breisach,1638,Breisach,Germany
199,Fuenterrabia,1638,Hondarribia (Guiptizcoa),Spain
201,Rheinfelden,1638,Rheinfelden,Switzerland
202,Nu Pied,1639,Avranches,France
203,Bridge of Dee,1639,Aberdeen,Scotland
204,Durham,1640,Durham,England
205,Newburn,1640,Newburn,England
206,Newcastle,1640,Newcastle Upon Tyne,England
207,Casale,1640,Casale Monferrato,Italy
208,Benburb,1646,Benburb,Treland
209,Dunganhill,1647,Summezhill,Ireland
210,Masaniello,1647-8,Naples,Italy
211,Lerida,1647,Lerida,Spain
212,Colchester,1648,Colchester,England
213,Prembroke Castle,1648,Pembroke,England
214,Preston,1648,Preston,England
215,Lens,1648,Lens,France
216,Zusmarshausen,1648,Zusmarshausen,Germany
217,Fronde de Parlement,1649,Charenton-le-Pont,France
219,Fronde de Parlement,1649,Paris,France
221,Drogheda,1649,Drogheda,Ireland
222,Rathmines,1649,Dublin,Ireland
223,Wexford,1649,Wexford,Ireland
224,Clonmen,1650,Clonmel,Ireland
225,Carbiesdale,1650,Ardgay,Scotland
226,Dunbar Ridges,1650,Dunbar,Scotland
227,Worcester,1651,Worcester,England
228,Dundee,1651,Dundee,Scotland
229,Inverkeithing,1651,Inverkeithing,Scotland
230,Perth,1651,Perth,Scotland
231,Frond of the Princes,1652,Paris,France
233,Dunottar Castle,1652,Stonehaven,Scotland
234,Arras,1654,Arras,France
235,Siege of Warsaw,1655,Warsaw,Poland
236,Valenciennes,1656,Valenciennes,France
237,Battle of Warsaw,1656,Warsaw,Poland
238,Sandomierz,1656,"Sandomierz,",Poland
239,First Villmergen,1656,Villmergen,Switzerland
240,Fredericksodde,1657,Fredericia,Denmark
241,Copenhagen,1658,Copenhagen,Denmark
242,TheDunes,1658,Dunkirk,France
243,Nyborg,1659,Nyborg,Denmark
244,Ameixal,1663,Estremoz,Portugal
245,Montes Claros,1663,Vila Vicosa,Portugal
246,Neuhausel,1663,Neuhausel Slovak,Rep
247,St.Gotthard,1664,Szentgotthard,Hungary
248,Villaviciosa,1665,Vila Vicosa,Portugal
249,Lille,1667,Lille,France
250,Maastricht,1673,Maastricht,Germany
251,Senetfe,1674,Seneffe,Belgium
252,Enzheim,1674,Entzheim,France
253,Sinsheim,1674,Sinsheim,Germany
254,Turkheim,1674,Turkheim,Germany
255,Torrebens,1675,Rennes,France
256,Fehrbellin,1675,Febrbellin,Germany
257,Sasbach,1675,Sasbach (Ortenau),Germany
258,Philipsburg,1676,Philipsburg,Germany
259,Messina,1676,Messina,Italy
260,Lund,1676,Lund,Sweden
261,Landskronz,1677,Landskrona,Sweden
262,St.Denis,1678,Mans,Belgium
263,Bothwell Bridge,1679,Hamilton,Scotland
264,Drumelog,1679,Darvel,Scotland
265,Khalenberg,1683,Vienna,Austria
266,Vienna,1683,Vienna,Austria
267,Parkany,1683,Stérovo Slovak,Rep
268,First Buda,1684,Budapest,Hungary
269,Luxembourg,1684,Luxembourg City,"Luxembourg,"
270,Norton St Phillips,1685,Norton St. Phillip,England
271,Sedgemoor,1685,Westonzoyland ,England
272,Second Buda,1686,Budapest,Hungary
273,Athens,1687,Athens,Greece
274,Harkany,1687,Harkany,Hungary
275,First Belgrade,1688,Belgrade,Serbia
276,Walcourt,1689,Walcourt,Belgium
277,Enniskillen,1689,Enniskillen ,Ireland
278,Londonderry,1689,Londonderry ,Ireland
279,Newtown Butler,1689,Clones,Ireland
280,Killiecrankie,1689,Killiecrankie,Scotland
281,Fleurus,1690,Fleurus,Belgium
282,River Boyne,1690,Drogheda,Ireland
283,Strorm of Limerick,1690,Limerck ,Ireland
284,Staffarda,1690,Revello,Italy
285,Zernyest,1690,Zarnesti ,Romania
286,Cromdale,1690,Grantown-on-Spey ,Scotland
287,Second Belgrade,1690,Belgrade,Serbia
288,Hal,1691,Halle,Belgium
289,Leuze,1691,Leuze-en-Hainaut,Belgium
290,Mons,1691,Mons ,Belgium
291,Aughrim,1691,Aughrim ,Ireland
292,Fall of Limerick,1691,Limerick,Ireland
293,Szalankemen,1691,Stari Slankamen ,Serbia
294,Ripoli,1691,Ripoll ,Spain
295,First Namur,1692,Namur,Belgium
296,Steenkerke,1692,Veurne ,Belgium
297,Neerwinden,1693,Neerwinden (Tienen) ,Belgium
298,Marsaglia,1693,Marsaglia,Italy
299,Third Belgrade,1693,Belgrade,Serbia
300,Chios,1694-5,Chios Island,Greece
301,Second Namur,1695,Namur,Belgium
302,Lippa,1695,Lipova,Romania
303,Zenta,1697,Senta,Serbia
304,Barcelona,1697,Barcelona,Spain
305,Chiari,1701,Chiari,Italy
306,Cremona,1701-2,Cremona,Italy
307,Liege,1702,Liége,Belgium
308,Cevennes,1702,Le Pont-de-Montvert ,France
309,First Landau,1702,Landau In Der Platz,Germany
310,Friedlingen,1702,Freiburg im Breisgau,Germany
311,Kaiserswerth,1702,Diisseldorf,Germany
312,Luzzara,1702,Luzzara,Italy
313,Klissow,1702,Kliszow,Poland
314,Warsaw,1702,Warsaw,Poland
315,Bonn,1703,Bonn,Germany
316,Hochstadt,1703,Hochstadt,Germany
317,Second Landau,1703,Landau In Der Platz,Germany
318,Speyerbach,1703,Speyer,Germany
319,Bergen Op Zoom,1703,Bergen Op Zoom,Netherlands
320,Pultusk,1703,Pultusk,Poland
321,Blenheim,1704,Blindheim,Germany
322,Schellenberg Hill,1704,Donauwerth,Germany
323,Third Landau,1704,Landau in der Pfaltz,Germany
324,First Rock of Gibraltar,1704,Rock of Gibraltar,Gibraltar
326,Second Gibraltar,1704-1705,Gibraltar City,Gibraltar
327,Punitz,1704,Punitz,Poland
328,"Thorn,",1704,Torun,Poland
329,Cassano,1705,Cassano d’Adda,Italy
330,First Barcelona,1705-1706,Barcelona,Spain
331,Messina,1061,Messina,Italy
332,Mayenne,1063,Domfront,France
333,Cerami,1063,Cerami,Italy
334,Dinan,1064,Dinan,France
335,Dol,1064,Dol-de-Bretagne,France
336,Gate Fulford,1066,York,England
337,Hastings,1066,Hastings,England
338,Stamford Bridge,1066,Stamford Bridge,England
339,Exeter,1068,Exeter,England
340,Bari,1068-71,Bari,Italy
341,York,1069,York,England
342,Ely,1071,Isle of Ely,England
343,Cassel,1071,Cassel,France
344,Hohenburg,1075,Bad Langensalza,Germany
345,Skyhill,1079,Ramsey,England
346,Flarchheim,1080,Flarchheim,Germany
347,Hohen-Molsen,1080,Hohenmélsen,Germany
348,Dyrrhachium,1081,Durres,Albania
349,Dytthachium,1081-2,Durres,Albania
350,Larissa,1083,Larissa,Greece
351,Larissa,1083,Larissa,Greece
352,Toledo,1084-5,Toledo,Spain
353,Zalaka,1086,Badajoz,Spain
354,Mount Levunium,1091,Pazardzhik,Bulgaria
355,Cuarte,1094,Valencia,Spain
356,Huseca,1094,Huesca,Spain
357,Bamburgh,1095,Bamburgh,England
358,Huesca,1096,Huesca,Spain
359,Tinchebrai,1105-6,Tinchebrai,France
360,Candé,1106,Cande,France
361,Menin,1706,Menen,Belgium
